id,ref,subject,description,sprint_id,sprint,sprint_estimated_start,sprint_estimated_finish,owner,owner_full_name,assigned_to,assigned_to_full_name,assigned_users,assigned_users_full_name,status,is_closed,swimlane,back-points,design-points,front-points,ux-points,total-points,backlog_order,sprint_order,kanban_order,created_date,modified_date,finish_date,client_requirement,team_requirement,attachments,generated_from_issue,generated_from_task,from_task_ref,external_reference,tasks,tags,watchers,voters,due_date,due_date_reason,epics
9156101,11,Iniciar sesión,"### ID: Iniciar sesión

### Titulo

**Como** usuario registrado **quiero** iniciar sesión **para** gestionar información

### Reglas de negocio

\-

### Criterios de aceptación

Escenario 1: Inicio de sesión exitoso

```plaintext
Dado el email dobalfede@gmail.com y la contraseña “fede123”...
Cuando se ingresa el email dobalfede@gmail.com y la contraseña “fede123”, y se presiona “Iniciar Sesión”...
Entonces el sistema inicia la sesión del usuario y muestra la pantalla de inicio.
```

Escenario 2: Inicio de sesión fallido por email no existente

```plaintext
Dado el email alamargot@yahoo.com que no existe en el sistema...
Cuando se ingresa el email alamargot@yahoo.com y la contraseña “perro456”, y se presiona “Iniciar Sesión”...
Entonces el sistema informa “Datos de inicio de sesión incorrectos”.
```

Escenario 3: Inicio de sesión fallido por contraseña errónea

```plaintext
Dado el email firulais5@outlook.com y la contraseña “gato789”, que no corresponden entre sí...
Cuando se ingresa el email firulais5@outlook.com y la contraseña “gato789”, y se presiona “Iniciar Sesión”...
Entonces el sistema informa “Datos de inicio de sesión incorrectos”.
```",,,,,alvaroauth,Alvaro,fededobal,Federico Dobal,fededobal,Federico Dobal,New,False,,1.0,1.0,1.0,1.0,4.0,1776179905412567,1776179905412569,1776179905412570,2026-04-14 15:18:25.412575+00:00,2026-04-22 13:50:28.546408+00:00,,False,False,0,,,,,,,[],0,,,1
9156102,12,Cerrar sesión,"### ID: Cerrar sesión

### Titulo

**Como** usuario **quiero** cerrar mi sesión **para** salir de mi cuenta

### Reglas de negocio

\-

### Criterios de aceptación

Escenario 1: Cierre de sesión exitoso

```plaintext
Dado que el usuario tiene la sesión iniciada...
Cuando presiona “Cerrar sesión”...
Entonces se termina la sesión y se muestra al usuario a la página de inicio de sesión.
```",,,,,alvaroauth,Alvaro,fededobal,Federico Dobal,fededobal,Federico Dobal,New,False,,1.0,1.0,1.0,1.0,4.0,1776179929182280,1776179929182282,1776179929182284,2026-04-14 15:18:49.182290+00:00,2026-04-23 21:04:24.217083+00:00,,False,False,0,,,,,,,[],0,,,1
9156106,13,Registrar Cliente,"### **ID: Registrar cliente**

### **Titulo**

**Como** cliente **quiero** registrarme **para** solicitar clases.

### **Reglas de negocio**

*   El email no debe repetirse en el sistema
*   La edad calculada a partir de la fecha de nacimiento debe ser mayor estricto a 14 años
*   La contraseña debe tener 8 caracteres o más
*   Se debe enviar un email de confirmación para activar la cuenta

### **Criterios de aceptación**

Escenario 1: Registro exitoso

```gherkin
Dado el email “ferperez@yahoo.com” que no se encuentra registrado, la contraseña “abc123456” que tiene 8 caracteres o más y que coincide con su confirmación “abc123456”, y la fecha de nacimiento “1/1/2010” que implica que, siendo el 18/4/2026 la fecha actual, la edad del cliente es 16...
Cuando se ingresa el nombre “Fernando”, el apellido “Perez”, el DNI “50585695”, el email “ferperez@yahoo.com”, el género “Masculino”, la fecha de nacimiento “1/1/2010”, el número de teléfono “2215634857”, una ficha médica, la contraseña “abc123456” y su confirmación “abc123456”, y se presiona “Registrarse”...
Entonces el sistema envía un correo con un enlace de confirmación que expira en 48hs e informa “Se ha enviado un enlace de confirmación a su casilla de email. Tiene 48hs para confirmar su registro.”.
```

Escenario 2: Registro fallido por email ya registrado

```gherkin
Dado el email “rociotomason@gmail.com” que ya se encuentra registrado en el sistema...
Cuando se ingresa el nombre “Rocío”, el apellido “Tomason”, el DNI “47585969”, el email “rociotomason@gmail.com”, el género “Femenino”, la fecha de nacimiento “1/1/2006”, el número de teléfono “2216659873”, una ficha médica, la contraseña “abc123456” y su confirmación “abc123456”, y se presiona “Registrarse”...
Entonces el sistema informa “Registro fallido - El email ya se encuentra registrado.”
```

Escenario 3: Registro fallido por edad menor o igual a 14 años

```gherkin
Dado la fecha de nacimiento “15/05/2012” que implica que, siendo el 18/04/2026 la fecha actual, la edad del cliente es 13...
Cuando se ingresa el nombre “Juan”, el apellido “Gonzalez”, el DNI “54223698”, el email “juangonzalez@gmail.com”, el género “Masculino”, la fecha de nacimiento “15/05/2012”, el número de teléfono “2215859696”, una ficha médica, la contraseña “abc123456” y su confirmación “abc123456”, y se presiona “Registrarse”...
Entonces el sistema informa “Registro fallido - Se debe ser mayor de 14 años.”
```

Escenario 4: Registro fallido por contraseña menor a 8 caracteres

```gherkin
Dada la contraseña “kuda123” que tiene 7 caracteres...
Cuando se ingresa el nombre “Alvaro”, el apellido “Gomez”, el DNI “48555666”, el email “alvarogomez@gmail.com”, el género “Masculino”, la fecha de nacimiento “10/10/2004”, el número de teléfono “2214445555”, una ficha médica, la contraseña “kuda123” y su confirmación “kuda123”, y se presiona “Registrarse”...
Entonces el sistema informa “Registro fallido - La contraseña debe tener al menos 8 caracteres.”
```

Escenario 5: Registro fallido porque las contraseñas no coinciden

```gherkin
Dada la contraseña “gugol2026” cuya confirmación ingresada es “gugol2025” y por lo tanto no coinciden...
Cuando se ingresa el nombre “Facu”, el apellido “Martínez”, el DNI “49123456”, el email “facumartinez@hotmail.com”, el género “Masculino”, la fecha de nacimiento “20/08/2005”, el número de teléfono “2213337777”, una ficha médica, la contraseña “gugol2026” y su confirmación “gugol2025”, y se presiona “Registrarse”...
Entonces el sistema informa “Registro fallido - Las contraseñas no coinciden.”
```",,,,,alvaroauth,Alvaro,fededobal,Federico Dobal,fededobal,Federico Dobal,New,False,,1.0,1.0,1.0,1.0,4.0,1776179976146942,1776179976146946,1776179976146948,2026-04-14 15:19:36.146954+00:00,2026-04-24 14:34:25.354279+00:00,,False,False,0,,,,,,,[],0,,,1
9156108,14,Ver detalle de cliente,"### ID: Ver detalle de cliente

### Titulo

**Como** cliente **quiero** ver mis detalles **para** conocer información personal

### Reglas de negocio

\-

### Criterios de aceptación

Escenario 1: Vista exitosa

```plaintext
Dado un cliente con DNI “12345645”...
Cuando se presiona “Mi información”...
Entonces el sistema lista los datos personales del cliente y muestra un botón “Modificar datos personales”.
```",,,,,alvaroauth,Alvaro,fededobal,Federico Dobal,fededobal,Federico Dobal,New,False,,1.0,1.0,1.0,1.0,4.0,1776179993472553,1776179993472555,1776179993472556,2026-04-14 15:19:53.472561+00:00,2026-04-23 21:06:23.168438+00:00,,False,False,0,,,,,,,[926512],0,,,1
9156113,15,Listar reservas actuales,"### ID: Listar reservas actuales

### Titulo

**Como** cliente **quiero** ver mis reservas actuales **para** estar al tanto de las mismas.

### Reglas de negocio

\-

### Criterios de aceptación

Escenario 1: Listado exitoso

```plaintext
Dado la existencia de reservas vigentes a la fecha actual “13/4/2026”...
Cuando se presiona “Ver mis reservas actuales”...
Entonces el sistema muestra un listado de las reservas actuales junto al botón “Ver detalle”.
```

Escenario 2: Listado vacío

```plaintext
Dado que no existen reservas vigentes a la fecha actual “13/4/2026”...
Cuando se presiona “Ver mis reservas actuales”...
Entonces el sistema informa “No posee reservas”.
```",,,,,alvaroauth,Alvaro,fededobal,Federico Dobal,fededobal,Federico Dobal,New,False,,1.0,1.0,1.0,1.0,4.0,1776180015315235,1776180015315238,1776180015315239,2026-04-14 15:20:15.315245+00:00,2026-04-23 21:05:06.941469+00:00,,False,False,0,,,,,,,[],0,,,1
9156115,16,Modificar cliente,"### **ID: Modificar cliente**

### **Titulo**

**Como** cliente **quiero** modificar mi información **para** mantenerla actualizada.

### **Reglas de negocio**

*   La edad calculada a partir de la fecha de nacimiento debe ser mayor estricto a 14 años.

### **Criterios de aceptación**

Escenario 1: Modificación exitosa

```plaintext
Dado un cliente con el DNI “50656323”, y la fecha de nacimiento “15/07/2010” que implica que, siendo el 18/04/2026 la fecha actual, la edad del cliente es 15...
Cuando se ingresa el nombre “Juan”, el apellido “Alonso”, el género “Masculino”, la fecha de nacimiento “15/07/2010” y el número de teléfono “221525636”, y se presiona “Guardar cambios”...
Entonces el sistema informa “Se ha modificado su información personal”.
```

Escenario 2: Modificación fallida por edad menor o igual a 14 años

```plaintext
Dado un cliente con el DNI “53654525” y la fecha de nacimiento “10/05/2013” que implica que, siendo el 18/04/2026 la fecha actual, la edad del cliente es 12...
Cuando se ingresa el nombre “Juana”, el apellido “Juarez”, el género “Femenino”, la fecha de nacimiento “10/05/2013” y el número de teléfono “221554858”, y se presiona “Guardar cambios”...
Entonces el sistema informa “Modificación fallida - Debe ser mayor de 14 años”.
```",,,,,alvaroauth,Alvaro,fededobal,Federico Dobal,fededobal,Federico Dobal,New,False,,1.0,1.0,1.0,1.0,4.0,1776180026594516,1776180026594519,1776180026594520,2026-04-14 15:20:26.594525+00:00,2026-04-24 14:36:47.545688+00:00,,False,False,0,,,,,,,[],0,,,1
9156117,17,Cambiar contraseña,"### ID: Cambiar contraseña

### Titulo

**Como** cliente **quiero** cambiar mi contraseña **para** mantener la seguridad de mi cuenta

### Reglas de negocio

\-

### Criterios de aceptación

Escenario 1: Cambio de contraseña exitoso

```plaintext
Dado un cliente con DNI “12345678” con contraseña “vieja123”, la contraseña nueva “nueva456” que coincide con su confirmación “nueva456”...
Cuando se ingresa la contraseña actual ""vieja123"", la nueva contraseña ""nueva456"" y la confirmación ""nueva456"", y se presiona ""Cambiar contraseña""...
Entonces el sistema actualiza la contraseña e informa ""Contraseña modificada con éxito"".
```

Escenario 2: Cambio de contraseña fallido por contraseña actual incorrecta

```plaintext
Dado un cliente con DNI “11122233” con contraseña “a123”...
Cuando se ingresa la contraseña actual ""otra123"", la nueva contraseña ""b123"" y la confirmación ""b123"", y se presiona ""Cambiar contraseña""...
Entonces el sistema informa ""La contraseña actual es incorrecta"".
```

Escenario 3: Cambio de contraseña fallido por contraseñas nuevas que no coinciden

```plaintext
Dado un cliente con DNI “44455566” con contraseña “aaa111”, la contraseña nueva “nueva456” que no coincide con su confirmación “distinta789”...
Cuando se ingresa la contraseña actual ""aaa111"", la nueva contraseña ""nueva456"" y la confirmación ""distinta789"", y se presiona ""Cambiar contraseña""...
Entonces el sistema informa ""Las contraseñas no coinciden"".
```",,,,,alvaroauth,Alvaro,fededobal,Federico Dobal,fededobal,Federico Dobal,New,False,,1.0,1.0,1.0,1.0,4.0,1776180039055837,1776180039055842,1776180039055843,2026-04-14 15:20:39.055849+00:00,2026-04-23 21:05:19.389581+00:00,,False,False,0,,,,,,,[],0,,,1
9156119,18,Envío de enlace vía email para recuperar contraseña,"### **ID: Envío de enlace vía email para recuperar contraseña**

### **Titulo**

**Como** cliente **quiero** recibir un enlace por email **para** recuperar el acceso a mi cuenta.

### **Reglas de negocio**

\-

### **Criterios de aceptación**

Escenario 1: Envío de enlace exitoso

```plaintext
Dado el email ""federico.dev@gmail.com"" que se encuentra registrado...
Cuando se ingresa el email ""federico.dev@gmail.com"" y se presiona ""Recuperar contraseña""...
Entonces el sistema envía un correo automático con un enlace de recuperación que expira en 48hs e informa ""Se ha enviado un enlace de recuperación a su email"".
```

Escenario 2: Envío fallido por email no registrado

```plaintext
Dado el email ""noexiste@yahoo.com"" que no se encuentra registrado...
Cuando se ingresa el email ""noexiste@yahoo.com"" y se presiona ""Recuperar contraseña""...
Entonces el sistema informa ""El email ingresado no pertenece a ninguna cuenta registrada"".
```",,,,,alvaroauth,Alvaro,fededobal,Federico Dobal,fededobal,Federico Dobal,New,False,,1.0,1.0,1.0,1.0,4.0,1776180055428310,1776180055428312,1776180055428314,2026-04-14 15:20:55.428319+00:00,2026-04-24 14:37:39.966182+00:00,,False,False,0,,,,,,,[],0,,,1
9156120,19,Editar usuario,"### **ID: Editar usuario**

### **Titulo**

**Como** administrativo **quiero** editar los datos de un usuario **para** poder mantener su información actualizada

### **Reglas de negocio**

*   La edad calculada a partir de la fecha de nacimiento debe ser mayor estricto a 14 años.

### **Criterios de aceptación**

Escenario 1: Edición de usuario exitosa

```plaintext
Dado un cliente a modificar con DNI ""50656323"" y la fecha de nacimiento ""15/07/2010"" que implica que, siendo el 18/04/2026 la fecha actual, la edad del cliente es 15...
Cuando se ingresa el nombre ""Juan"", el apellido ""Alonso"", el DNI ""50656323"", el género ""Masculino"", la fecha de nacimiento ""15/07/2010"" y el número de teléfono ""2219998888"", y presiona ""Guardar cambios""...
Entonces el sistema efectúa la modificación e informa ""Usuario editado con éxito"".
```

Escenario 2: Edición de usuario fallida por DNI ya registrado

```plaintext
Dado un cliente a editar con DNI ""50656323"", y un usuario con el DNI ""45987321""...
Cuando se ingresa el nombre ""Juan"", el apellido ""Alonso"", el DNI ""45987321"", el género ""Masculino"", la fecha de nacimiento ""15/07/2010"" y el número de teléfono ""221525636"", y presiona ""Guardar cambios""...
Entonces el sistema informa ""El DNI ingresado ya pertenece a otro usuario registrado"".
```

Escenario 3: Edición de usuario fallida por edad menor o igual a 14 años

```plaintext
Dado un cliente a editar con DNI “50656323” y la fecha de nacimiento ""10/05/2013"" que implica que, siendo el 18/04/2026 la fecha actual, la edad del cliente es 12...
Cuando se ingresa el nombre ""Juan"", el apellido ""Alonso"", el DNI ""50656323"", el género ""Masculino"", la fecha de nacimiento ""10/05/2013"" y el número de teléfono ""221525636"", y presiona ""Guardar cambios""...
Entonces el sistema informa ""El usuario debe ser mayor de 14 años"".
```",,,,,alvaroauth,Alvaro,fededobal,Federico Dobal,fededobal,Federico Dobal,New,False,,1.0,1.0,1.0,1.0,4.0,1776180065165346,1776180065165347,1776180065165348,2026-04-14 15:21:05.165353+00:00,2026-04-24 14:40:47.266692+00:00,,False,False,0,,,,,,,[],0,,,1
9156122,20,Listar Usuarios,"### ID: Listar usuarios

### Titulo

**Como** administrativo **quiero** listar los usuarios **para** estar al tanto de quienes integran mi centro

### Reglas de negocio

\-

### Criterios de aceptación

Escenario 1: Listado exitoso

```plaintext
Dado la existencia de usuarios...
Cuando se presiona “Ver usuarios”...
Entonces el sistema muestra un listado de los usuarios junto al botón “Editar usuario”.
```

Escenario 2: Listado vacío

```plaintext
Dado que no existen usuarios...
Cuando se presiona “Ver usuarios”...
Entonces el sistema informa “No se han encontrado usuarios”.
```",,,,,alvaroauth,Alvaro,fededobal,Federico Dobal,fededobal,Federico Dobal,New,False,,1.0,1.0,1.0,1.0,4.0,1776180073385661,1776180073385664,1776180073385666,2026-04-14 15:21:13.385673+00:00,2026-04-23 21:06:04.162804+00:00,,False,False,0,,,,,,,[],0,,,1
